branch_ch,board,digi_ch,global_chip,type,notes,x,y,z
0,0,0,4,crilin,,,,
1,0,1,4,crilin,,,,
2,0,2,4,crilin,,,,
3,0,3,4,crilin,,,,
4,0,4,4,crilin,,,,
5,0,5,4,crilin,,,,
6,0,6,4,crilin,,,,
7,0,7,4,crilin,,,,
8,0,8,5,crilin,,,,
9,0,9,5,crilin,,,,
10,0,10,5,crilin,,,,
11,0,11,5,crilin,,,,
12,0,12,5,crilin,,,,
13,0,13,5,crilin,,,,
14,0,14,5,crilin,,,,
15,0,15,5,crilin,,,,
16,0,16,6,crilin,,,,
17,0,17,6,crilin,,,,
18,0,18,6,crilin,,,,
19,0,19,6,crilin,,,,
20,0,20,6,crilin,,,,
21,0,21,6,crilin,,,,
22,0,22,6,crilin,,,,
23,0,23,6,crilin,,,,
24,0,24,7,crilin,,,,
25,0,25,7,crilin,,,,
26,0,26,7,crilin,,,,
27,0,27,7,crilin,,,,
28,0,28,7,crilin,,,,
29,0,29,7,crilin,,,,
30,0,30,7,crilin,,,,
31,0,31,7,crilin,,,,
0,0,-100,4,trigger,,,,
1,0,-101,5,trigger,,,,
2,0,-102,6,trigger,,,,
3,0,-103,7,trigger,,,,
32,1,0,0,crilin,,1,1,
33,1,1,0,crilin,,0,1,
34,1,2,0,crilin,,-1,1,
35,1,3,0,crilin,,1,0,
36,1,4,0,unused,,,,
37,1,5,0,crilin,,0,0,
38,1,6,0,crilin,,-1,0,
39,1,7,0,crilin,,1,-1,
40,1,8,1,crilin,,0,-1,
41,1,9,1,crilin,,-1,-1,
42,1,10,1,crilin,scint,,,
43,1,11,1,crilin,crystal,,,
44,1,12,1,unused,,,,
45,1,13,1,unused,,,,
46,1,14,1,unused,,,,
47,1,15,1,unused,,,,
48,1,16,2,unused,,,,
49,1,17,2,unused,,,,
50,1,18,2,unused,,,,
51,1,19,2,unused,,,,
52,1,20,2,unused,,,,
53,1,21,2,unused,,,,
54,1,22,2,unused,,,,
55,1,23,2,unused,,,,
56,1,24,3,unused,,,,
57,1,25,3,unused,,,,
58,1,26,3,unused,,,,
59,1,27,3,unused,,,,
60,1,28,3,unused,,,,
61,1,29,3,unused,,,,
62,1,30,3,unused,,,,
63,1,31,3,unused,,,,
4,1,-100,0,trigger,,,,
5,1,-101,1,trigger,,,,
6,1,-102,2,unused,trigger,,,
7,1,-103,3,unused,trigger,,,
