branch_ch,board,digi_ch,global_chip,fee_board,fee_ch,layer,type,ADC_range_V,gain,one_over_gain_over_ADC_range,x,y,z,notes
0,0,0,0,0,0,0,crilin,1,4,0.25,,,,
1,0,1,0,0,1,0,crilin,1,4,0.25,,,,
2,0,2,0,0,2,0,crilin,1,4,0.25,,,,
3,0,3,0,0,3,0,crilin,1,4,0.25,,,,
4,0,4,0,0,4,0,crilin,1,4,0.25,,,,
5,0,5,0,0,5,0,crilin,1,4,0.25,,,,
6,0,6,0,0,6,0,crilin,1,4,0.25,,,,
7,0,7,0,0,7,0,crilin,1,4,0.25,,,,
8,0,8,1,0,8,0,crilin,1,4,0.25,,,,
9,0,9,1,0,9,0,crilin,1,4,0.25,,,,
10,0,10,1,0,10,0,crilin,1,4,0.25,,,,
11,0,11,1,0,11,0,crilin,1,4,0.25,,,,
12,0,12,1,0,12,0,unused,1,4,0.25,,,,
13,0,13,1,0,13,0,crilin,1,4,0.25,,,,
14,0,14,1,0,14,0,crilin,1,4,0.25,,,,
15,0,15,1,0,15,0,crilin,1,4,0.25,,,,
16,0,16,2,1,0,0,crilin,1,4,0.25,,,,
17,0,17,2,1,1,0,crilin,1,4,0.25,,,,
18,0,18,2,1,2,0,crilin,1,4,0.25,,,,
19,0,19,2,1,3,0,crilin,1,4,0.25,,,,
20,0,20,2,1,4,0,crilin,1,4,0.25,,,,
21,0,21,2,1,5,0,crilin,1,4,0.25,,,,
22,0,22,2,1,6,0,crilin,1,4,0.25,,,,
23,0,23,2,1,7,0,crilin,1,4,0.25,,,,
24,0,24,3,1,8,0,crilin,1,4,0.25,,,,
25,0,25,3,1,9,0,crilin,1,4,0.25,,,,
26,0,26,3,1,10,0,crilin,1,4,0.25,,,,
27,0,27,3,1,11,0,crilin,1,4,0.25,,,,
28,0,28,3,1,12,0,crilin,1,4,0.25,,,,
29,0,29,3,1,13,0,crilin,1,4,0.25,,,,
30,0,30,3,1,14,0,crilin,1,4,0.25,,,,
31,0,31,3,1,15,0,crilin,1,4,0.25,,,,
32,1,0,4,2,0,0,crilin,1,4,0.25,,,,
33,1,1,4,2,1,0,crilin,1,4,0.25,,,,
34,1,2,4,2,2,0,crilin,1,4,0.25,,,,
35,1,3,4,2,3,0,crilin,1,4,0.25,,,,
36,1,4,4,2,4,0,crilin,1,4,0.25,,,,
37,1,5,4,2,5,0,crilin,1,4,0.25,,,,
38,1,6,4,2,6,0,crilin,1,4,0.25,,,,
39,1,7,4,2,7,0,crilin,1,4,0.25,,,,
40,1,8,5,2,8,0,crilin,1,4,0.25,,,,
41,1,9,5,2,9,0,crilin,1,4,0.25,,,,
42,1,10,5,2,10,0,crilin,1,4,0.25,,,,
43,1,11,5,2,11,0,crilin,1,4,0.25,,,,
44,1,12,5,2,12,0,crilin,1,4,0.25,,,,
45,1,13,5,,,,unused,,,,,,,
46,1,14,5,,,,unused,,,,,,,
47,1,15,5,,,,unused,,,,,,,
48,1,16,6,3,0,1,crilin,1,1,1,,,,
49,1,17,6,3,1,1,crilin,1,1,1,,,,
50,1,18,6,3,2,1,crilin,1,1,1,,,,
51,1,19,6,3,3,1,crilin,1,1,1,,,,
52,1,20,6,3,4,1,crilin,1,1,1,,,,
53,1,21,6,3,5,1,crilin,1,1,1,,,,
54,1,22,6,3,6,1,crilin,1,1,1,,,,
55,1,23,6,3,7,1,crilin,1,1,1,,,,
56,1,24,7,3,8,1,crilin,1,1,1,,,,
57,1,25,7,3,9,1,crilin,1,1,1,,,,
58,1,26,7,3,10,1,crilin,1,1,1,,,,
59,1,27,7,3,11,1,crilin,1,1,1,,,,
60,1,28,7,3,12,1,unused,1,1,1,,,,
61,1,29,7,3,13,1,crilin,1,1,1,,,,
62,1,30,7,3,14,1,crilin,1,1,1,,,,
63,1,31,7,3,15,1,crilin,1,1,1,,,,
64,2,0,8,4,0,1,crilin,1,1,1,,,,
65,2,1,8,4,1,1,crilin,1,1,1,,,,
66,2,2,8,4,2,1,crilin,1,1,1,,,,
67,2,3,8,4,3,1,crilin,1,1,1,,,,
68,2,4,8,4,4,1,crilin,1,1,1,,,,
69,2,5,8,4,5,1,crilin,1,1,1,,,,
70,2,6,8,4,6,1,crilin,1,1,1,,,,
71,2,7,8,4,7,1,crilin,1,1,1,,,,
72,2,8,9,4,8,1,crilin,1,1,1,,,,
73,2,9,9,4,9,1,crilin,1,1,1,,,,
74,2,10,9,4,10,1,crilin,1,1,1,,,,
75,2,11,9,4,11,1,crilin,1,1,1,,,,
76,2,12,9,4,12,1,crilin,1,1,1,,,,
