branch_ch,board,digi_ch,global_chip,type,notes,x,y,z
0,0,0,4,crilin,,-10,-10,-2.5
1,0,1,4,crilin,,0,-10,-2.5
2,0,2,4,crilin,,10,-10,-2.5
3,0,3,4,crilin,,-10,0,-2.5
4,0,4,4,crilin,,0,0,-2.5
5,0,5,4,crilin,,10,0,-2.5
6,0,6,4,crilin,,-10,10,-2.5
7,0,7,4,crilin,,0,10,-2.5
8,0,8,5,crilin,,10,10,-2.5
9,0,9,5,unused,,,,
10,0,10,5,unused,scint,,,
11,0,11,5,beamcatcher,crystal,,,
12,0,12,5,unused,,,,
13,0,13,5,unused,,,,
14,0,14,5,unused,,,,
15,0,15,5,unused,,,,
16,0,16,6,unused,,,,
17,0,17,6,unused,,,,
18,0,18,6,unused,,,,
19,0,19,6,unused,,,,
20,0,20,6,unused,,,,
21,0,21,6,unused,,,,
22,0,22,6,unused,,,,
23,0,23,6,unused,,,,
24,0,24,7,unused,,,,
25,0,25,7,unused,,,,
26,0,26,7,unused,,,,
27,0,27,7,unused,,,,
28,0,28,7,unused,,,,
29,0,29,7,unused,,,,
30,0,30,7,unused,,,,
31,0,31,7,unused,,,,
0,0,-100,4,trigger,,,,
1,0,-101,5,trigger,,,,
2,0,-102,6,unused,trigger,,,
3,0,-103,7,unused,trigger,,,
32,1,0,0,tracker_d,,9.3,9.3,-18.6
33,1,1,0,tracker_d,,9.3,3.1,-18.6
34,1,2,0,tracker_d,,9.3,-3.1,-18.6
35,1,3,0,tracker_d,,9.3,-9.3,-18.6
36,1,4,0,tracker_d,,3.1,9.3,-18.6
37,1,5,0,tracker_d,,3.1,3.1,-18.6
38,1,6,0,tracker_d,,3.1,-3.1,-18.6
39,1,7,0,tracker_d,,3.1,-9.3,-18.6
40,1,8,1,tracker_d,,-3.1,9.3,-18.6
41,1,9,1,tracker_d,,-3.1,3.1,-18.6
42,1,10,1,tracker_d,,-3.1,-3.1,-18.6
43,1,11,1,tracker_d,,-3.1,-9.3,-18.6
44,1,12,1,tracker_d,,-9.3,9.3,-18.6
45,1,13,1,tracker_d,,-9.3,3.1,-18.6
46,1,14,1,tracker_d,,-9.3,-3.1,-18.6
47,1,15,1,tracker_d,,-9.3,-9.3,-18.6
48,1,16,2,tracker_u,,9.3,9.3,-11.6
49,1,17,2,tracker_u,,9.3,3.1,-11.6
50,1,18,2,tracker_u,,9.3,-3.1,-11.6
51,1,19,2,tracker_u,,9.3,-9.3,-11.6
52,1,20,2,tracker_u,,3.1,9.3,-11.6
53,1,21,2,tracker_u,,3.1,3.1,-11.6
54,1,22,2,tracker_u,,3.1,-3.1,-11.6
55,1,23,2,tracker_u,,3.1,-9.3,-11.6
56,1,24,3,tracker_u,,-3.1,9.3,-11.6
57,1,25,3,tracker_u,,-3.1,3.1,-11.6
58,1,26,3,tracker_u,,-3.1,-3.1,-11.6
59,1,27,3,tracker_u,,-3.1,-9.3,-11.6
60,1,28,3,tracker_u,,-9.3,9.3,-11.6
61,1,29,3,tracker_u,,-9.3,3.1,-11.6
62,1,30,3,tracker_u,,-9.3,-3.1,-11.6
63,1,31,3,tracker_u,,-9.3,-9.3,-11.6
4,1,-100,0,trigger,,,,
5,1,-101,1,trigger,,,,
6,1,-102,2,trigger,,,,
7,1,-103,3,trigger,,,,


