branch_ch,board,digi_ch,global_chip,type,notes,x,y,z,eqfactor
0,0,0,4,HGslayer,,-30,-60,-2.5,1
1,0,1,4,HGslayer,,0,-60,-2.5,1
2,0,2,4,HGslayer,,30,-60,-2.5,1
3,0,3,4,HGslayer,,-60,-30,-2.5,1
4,0,4,4,HGslayer,,-30,-30,-2.5,1
5,0,5,4,HGslayer,,0,-30,-2.5,1
6,0,6,4,HGslayer,,30,-30,-2.5,1
7,0,7,4,HGslayer,,60,-30,-2.5,1
8,0,8,5,HGslayer,,-60,0,-2.5,1
9,0,9,5,HGslayer,,-30,0,-2.5,1
10,0,10,5,HGslayer,,0,0,-2.5,1
11,0,11,5,HGslayer,,30,0,-2.5,1
12,0,12,5,HGslayer,,60,0,-2.5,1
13,0,13,5,HGslayer,,-60,30,-2.5,1
14,0,14,5,HGslayer,,-30,30,-2.5,1
15,0,15,5,HGslayer,,0,30,-2.5,1
16,0,16,6,HGslayer,,30,30,-2.5,1
17,0,17,6,HGslayer,,60,30,-2.5,1
18,0,18,6,HGslayer,,-30,60,-2.5,1
19,0,19,6,HGslayer,,0,60,-2.5,1
20,0,20,6,HGslayer,,30,60,-2.5,1
21,0,21,6,paletta,,,,,1
22,0,22,6,unused,,,,,1
23,0,23,6,unused,,,,,1
24,0,24,7,unused,,,,,1
25,0,25,7,unused,,,,,1
26,0,26,7,unused,,,,,1
27,0,27,7,unused,,,,,1
28,0,28,7,unused,,,,,1
29,0,29,7,unused,,,,,1
30,0,30,7,unused,,,,,1
31,0,31,7,unused,,,,,1
0,0,-100,4,trigger,,,,,1
1,0,-101,5,trigger,,,,,1
2,0,-102,6,unused,trigger,,,,1
3,0,-103,7,unused,trigger,,,,1
32,1,0,0,LGslayer,,-30,-60,-2.5,1
33,1,1,0,LGslayer,,0,-60,-2.5,1
34,1,2,0,LGslayer,,30,-60,-2.5,1
35,1,3,0,LGslayer,,-60,-30,-2.5,1
36,1,4,0,LGslayer,,-30,-30,-2.5,1
37,1,5,0,LGslayer,,0,-30,-2.5,1
38,1,6,0,LGslayer,,30,-30,-2.5,1
39,1,7,0,LGslayer,,60,-30,-2.5,1
40,1,8,1,LGslayer,,-60,0,-2.5,1
41,1,9,1,LGslayer,,-30,0,-2.5,1
42,1,10,1,LGslayer,,0,0,-2.5,1
43,1,11,1,LGslayer,,30,0,-2.5,1
44,1,12,1,LGslayer,,60,0,-2.5,1
45,1,13,1,LGslayer,,-60,30,-2.5,1
46,1,14,1,LGslayer,,-30,30,-2.5,1
47,1,15,1,LGslayer,,0,30,-2.5,1
48,1,16,2,LGslayer,,30,30,-2.5,1
49,1,17,2,LGslayer,,60,30,-2.5,1
50,1,18,2,LGslayer,,-30,60,-2.5,1
51,1,19,2,LGslayer,,0,60,-2.5,1
52,1,20,2,LGslayer,,30,60,-2.5,1
53,1,21,2,unused,,,,,1
54,1,22,2,unused,,,,,1
55,1,23,2,unused,,,,,1
56,1,24,3,unused,,,,,1
57,1,25,3,unused,,,,,1
58,1,26,3,unused,,,,,1
59,1,27,3,unused,,,,,1
60,1,28,3,unused,,,,,1
61,1,29,3,unused,,,,,1
62,1,30,3,unused,,,,,1
63,1,31,3,unused,,,,,1
4,1,-100,0,trigger,,,,,1
5,1,-101,1,trigger,,,,,1
6,1,-102,2,trigger,,,,,1
7,1,-103,3,trigger,,,,,1
