branch_ch,board,digi_ch,global_chip,type,notes,x,y,z
0,0,0,4,HGslayer,,-30,-60,-2.5
1,0,1,4,HGslayer,,0,-60,-2.5
2,0,2,4,HGslayer,,30,-60,-2.5
3,0,3,4,HGslayer,,-60,-30,-2.5
4,0,4,4,HGslayer,,-30,-30,-2.5
5,0,5,4,HGslayer,,0,-30,-2.5
6,0,6,4,HGslayer,,30,-30,-2.5
7,0,7,4,HGslayer,,60,-30,-2.5
8,0,8,5,HGslayer,,-60,0,-2.5
9,0,9,5,HGslayer,,-30,0,-2.5
10,0,10,5,HGslayer,,0,0,-2.5
11,0,11,5,HGslayer,,30,0,-2.5
12,0,12,5,HGslayer,,60,0,-2.5
13,0,13,5,HGslayer,,-60,30,-2.5
14,0,14,5,HGslayer,,-30,30,-2.5
15,0,15,5,HGslayer,,0,30,-2.5
16,0,16,6,HGslayer,,30,30,-2.5
17,0,17,6,HGslayer,,60,30,-2.5
18,0,18,6,HGslayer,,-30,60,-2.5
19,0,19,6,HGslayer,,0,60,-2.5
20,0,20,6,HGslayer,,30,60,-2.5
21,0,21,6,paletta,,,,
22,0,22,6,unused,,,,
23,0,23,6,unused,,,,
24,0,24,7,unused,,,,
25,0,25,7,unused,,,,
26,0,26,7,unused,,,,
27,0,27,7,unused,,,,
28,0,28,7,unused,,,,
29,0,29,7,unused,,,,
30,0,30,7,unused,,,,
31,0,31,7,unused,,,,
0,0,-100,4,trigger,,,,
1,0,-101,5,trigger,,,,
2,0,-102,6,unused,trigger,,,
3,0,-103,7,unused,trigger,,,
32,1,0,0,LGslayer,,-30,-60,-2.5
33,1,1,0,LGslayer,,0,-60,-2.5
34,1,2,0,LGslayer,,30,-60,-2.5
35,1,3,0,LGslayer,,-60,-30,-2.5
36,1,4,0,LGslayer,,-30,-30,-2.5
37,1,5,0,LGslayer,,0,-30,-2.5
38,1,6,0,LGslayer,,30,-30,-2.5
39,1,7,0,LGslayer,,60,-30,-2.5
40,1,8,1,LGslayer,,-60,0,-2.5
41,1,9,1,LGslayer,,-30,0,-2.5
42,1,10,1,LGslayer,,0,0,-2.5
43,1,11,1,LGslayer,,30,0,-2.5
44,1,12,1,LGslayer,,60,0,-2.5
45,1,13,1,LGslayer,,-60,30,-2.5
46,1,14,1,LGslayer,,-30,30,-2.5
47,1,15,1,LGslayer,,0,30,-2.5
48,1,16,2,LGslayer,,30,30,-2.5
49,1,17,2,LGslayer,,60,30,-2.5
50,1,18,2,LGslayer,,-30,60,-2.5
51,1,19,2,LGslayer,,0,60,-2.5
52,1,20,2,LGslayer,,30,60,-2.5
53,1,21,2,unused,,,,
54,1,22,2,unused,,,,
55,1,23,2,unused,,,,
56,1,24,3,unused,,,,
57,1,25,3,unused,,,,
58,1,26,3,unused,,,,
59,1,27,3,unused,,,,
60,1,28,3,unused,,,,
61,1,29,3,unused,,,,
62,1,30,3,unused,,,,
63,1,31,3,unused,,,,
4,1,-100,0,trigger,,,,
5,1,-101,1,trigger,,,,
6,1,-102,2,trigger,,,,
7,1,-103,3,trigger,,,,
