#xc x0 x1 a b c d
0 0 3.125 -0.000470952 0.000366799 0.000105802 -0.0000179863
6.25 3.125 9.375 0.000447252 0.00121643 0.00115771 0.000222562
12.5 9.375 15.625 0.124823 0.0505796 0.00568127 -0.00000338482
18.75 15.625 21.875 0.615887 0.0872258 -0.00194543 -0.000457264
25 21.875 28.125 0.988786 0.0230982 -0.00642333 -0.0000537092
31.25 28.125 34.375 0.895464 -0.0443733 -0.00328857 0.000177448
37.5 34.375 40.625 0.544874 -0.0577249 0.000843891 0.000111649
43.75 40.625 46.875 0.240919 -0.0371946 0.00199538 0.000016593
50 46.875 53.125 0.0836034 -0.015192 0.00128334 -0.0000349687
56.25 53.125 59.375 0.0313181 -0.00313386 0.000371662 -0.0000934852
62.5 59.375 65.625 0.0167912 -0.000591714 0.000178105 -0.0000629733
68.75 65.625 71.875 0.0119714 -0.000601749 0.0000478982 -0.0000144168
75 71.875 78.125 0.00689721 -0.00108248 0.0000649413 0.0000260645
81.25 78.125 84.375 0.00185254 0.00000708426 -0.00000191054 -0.00000528447
87.5 84.375 90.625 0.00123824 -0.0000918925 0.000030333 0.00000415739
93.75 90.625 96.875 0.0017875 0.0000608106 -0.0000178204 0.00000161448
100 96.875 101.6 0.00185162 0.000000791765 -0.000000182377 -0.000000177462

